FID,FID_1,STATION,BASIN,LONGITUDE,LATITUDE,STATION_ID,SITE,STATION__1,CRMS_SITE,PROJ_ID,BASIN_1,FLD_OFFICE,PROJ_TYPE,STATUS,DATA_TYPE,FREQUENCY,SENSOR_ENV,METHOD,Measures,FID_2,OBJECTID,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,Shape_Area,LWI_Region,Long,Lat
10,10,101,Atchafalaya,-91° 16' 0.602"",29° 25' 15.001"",AT02-101,AT02,AT02-101,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Submerged Aquatic Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.266833958800007,29.420833564100001
11,11,102,Atchafalaya,-91° 16' 32.281"",29° 24' 38.933"",AT02-102,AT02,AT02-102,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Submerged Aquatic Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.275633601300001,29.410814643599998
12,12,103R,Atchafalaya,-91° 16' 58.534"",29° 25' 14.793"",AT02-103R,AT02,AT02-103R,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Submerged Aquatic Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.282926025600005,29.420775811500000
13,13,11,Atchafalaya,-91° 16' 52.318"",29° 26' 35.516"",AT02-11,AT02,AT02-11,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281199489399995,29.443198927600001
14,14,12,Atchafalaya,-91° 16' 48.321"",29° 26' 35.968"",AT02-12,AT02,AT02-12,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.280089174099999,29.443324447900000
15,15,13,Atchafalaya,-91° 16' 51.903"",29° 26' 29.055"",AT02-13,AT02,AT02-13,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281084125899994,29.441404065600000
16,16,14,Atchafalaya,-91° 16' 48.117"",29° 26' 28.413"",AT02-14,AT02,AT02-14,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.280032428699997,29.441225807900000
17,17,15,Atchafalaya,-91° 16' 46.485"",29° 26' 22.829"",AT02-15,AT02,AT02-15,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279579239000000,29.439674719599999
18,18,16,Atchafalaya,-91° 16' 41.138"",29° 26' 19.593"",AT02-16,AT02,AT02-16,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.278093888100003,29.438775749700000
19,19,17,Atchafalaya,-91° 16' 41.190"",29° 26' 22.826"",AT02-17,AT02,AT02-17,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.278108366599994,29.439673750800001
20,20,18,Atchafalaya,-91° 16' 20.640"",29° 25' 28.044"",AT02-18,AT02,AT02-18,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272400009699993,29.424456532000001
21,21,19,Atchafalaya,-91° 16' 45.303"",29° 26' 18.104"",AT02-19,AT02,AT02-19,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279250893200000,29.438362103799999
22,22,20,Atchafalaya,-91° 16' 46.501"",29° 26' 22.829"",AT02-20,AT02,AT02-20,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279583747999993,29.439674777800001
23,23,21,Atchafalaya,-91° 16' 54.314"",29° 26' 25.521"",AT02-21,AT02,AT02-21,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281753972499999,29.440422409699998
24,24,22,Atchafalaya,-91° 16' 51.910"",29° 26' 29.063"",AT02-22,AT02,AT02-22,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281086020299995,29.441406345800001
25,25,23,Atchafalaya,-91° 16' 48.304"",29° 26' 36.008"",AT02-23,AT02,AT02-23,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.280084474800006,29.443335666199999
26,26,24,Atchafalaya,-91° 16' 55.510"",29° 26' 35.338"",AT02-24,AT02,AT02-24,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.282086237300007,29.443149466600001
27,27,25,Atchafalaya,-91° 16' 45.246"",29° 25' 14.094"",AT02-25,AT02,AT02-25,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279235043200003,29.420581547499999
28,28,26,Atchafalaya,-91° 16' 38.381"",29° 25' 6.444"",AT02-26,AT02,AT02-26,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.277328116500001,29.418456729100001
29,29,27,Atchafalaya,-91° 16' 21.054"",29° 25' 31.525"",AT02-27,AT02,AT02-27,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272515056900005,29.425423512999998
30,30,28,Atchafalaya,-91° 16' 20.626"",29° 25' 30.398"",AT02-28,AT02,AT02-28,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272396024000003,29.425110666500000
31,31,29,Atchafalaya,-91° 16' 20.553"",29° 25' 29.049"",AT02-29,AT02,AT02-29,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272375955100003,29.424735941000002
32,32,30,Atchafalaya,-91° 16' 20.859"",29° 25' 26.999"",AT02-30,AT02,AT02-30,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272460965299999,29.424166322600001
33,33,31,Atchafalaya,-91° 16' 19.315"",29° 25' 27.685"",AT02-31,AT02,AT02-31,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272031934300003,29.424357012600002
34,34,32,Atchafalaya,-91° 16' 21.768"",29° 25' 28.286"",AT02-32,AT02,AT02-32,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272713232800001,29.424523757700001
35,35,33,Atchafalaya,-91° 16' 23.032"",29° 25' 28.643"",AT02-33,AT02,AT02-33,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.273064564500004,29.424623058200002
36,36,34,Atchafalaya,-91° 16' 24.142"",29° 25' 28.990"",AT02-34,AT02,AT02-34,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.273372784200006,29.424719542999998
37,37,50,Atchafalaya,-91° 16' 41.964"",29° 25' 14.806"",AT02-50,AT02,AT02-50,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Bathymetry (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.278323440700007,29.420779557800000
38,38,51,Atchafalaya,-91° 16' 28.984"",29° 26' 11.144"",AT02-51,AT02,AT02-51,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Bathymetry (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.274717644700004,29.436428856900001
39,39,52,Atchafalaya,-91° 16' 38.846"",29° 24' 57.444"",AT02-52,AT02,AT02-52,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Topography (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.277457254699996,29.415956694900000
40,40,53,Atchafalaya,-91° 16' 49.792"",29° 26' 29.904"",AT02-53,AT02,AT02-53,9999,"AT-0002,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Topography (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.280497708100000,29.441640120599999
41,41,54,Atchafalaya,-91° 16' 45.886"",29° 26' 0.578"",AT02-54,AT02,AT02-54,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Topography (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279412885900001,29.433493892100000
42,42,55,Atchafalaya,-91° 16' 22.300"",29° 25' 50.000"",AT02-55,AT02,AT02-55,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Topography (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.272861102600004,29.430555466000001
43,43,56,Atchafalaya,-91° 16' 18.896"",29° 25' 21.484"",AT02-56,AT02,AT02-56,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Survey,Variable, ,On Screen Digitize Using DOQQ,Topography (XYZ),0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.271915514400007,29.422634315400000
44,44,01,Atchafalaya,-91° 16' 53.621"",29° 28' 37.209"",AT03-01,AT03,AT03-01,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281561306800000,29.477002388199999
45,45,02,Atchafalaya,-91° 16' 53.769"",29° 28' 37.771"",AT03-02,AT03,AT03-02,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281602498799998,29.477158570800000
46,46,03,Atchafalaya,-91° 16' 58.349"",29° 28' 35.451"",AT03-03,AT03,AT03-03,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.282874684099994,29.476514047100000
47,47,04,Atchafalaya,-91° 16' 58.856"",29° 28' 36.911"",AT03-04,AT03,AT03-04,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.283015440100002,29.476919652900001
48,48,05,Atchafalaya,-91° 17' 3.836"",29° 28' 32.322"",AT03-05,AT03,AT03-05,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.284398772399996,29.475644923099999
49,49,06,Atchafalaya,-91° 17' 4.320"",29° 28' 33.197"",AT03-06,AT03,AT03-06,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.284533247200002,29.475888028499998
50,50,07,Atchafalaya,-91° 17' 9.585"",29° 28' 31.925"",AT03-07,AT03,AT03-07,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.285995784199997,29.475534671599998
51,51,08,Atchafalaya,-91° 17' 9.087"",29° 28' 30.887"",AT03-08,AT03,AT03-08,9999,"AT-0003,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.285857554800003,29.475246403100002
