Station,Lat,Long,Maxlevel,Maxdate,Minlevel,Mindate,Raw,Proc,Plot,Basin,Basin1
CRMS0482-H01,29.5858703005,-91.35408342,7.98,2019-07-13 19:00:00,-1.903,2012-08-29 15:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0482-H01/CRMS0482-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0482-H01/CRMS0482-H01.html,Atchafalaya,Atchafalaya
CRMS0488-H01,29.7073395651,-91.5408642584,6.28,2008-09-13 14:00:00,0.5,2015-10-14 15:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0488-H01/CRMS0488-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0488-H01/CRMS0488-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0488-H02,29.7068049611,-91.5412666405,6.63,2020-08-27 11:00:00,1.31,2020-08-24 01:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0488-H02/CRMS0488-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0488-H02/CRMS0488-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0489-H01,29.6013169086,-91.5418361833,8.76,2019-07-13 19:00:00,-1.09,2015-01-07 17:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0489-H01/CRMS0489-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0489-H01/CRMS0489-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0490-H01,29.6900499181,-91.5178425099,7.7,2019-07-14 01:00:00,0.19,2020-08-18 05:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0490-H01/CRMS0490-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0490-H01/CRMS0490-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0493-H01,29.755722152,-91.7583087906,5.429,2011-09-04 12:00:00,-1.471,2008-01-02 13:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0493-H01/CRMS0493-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0493-H01/CRMS0493-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0493-H02,29.755238122,-91.7611511075,9.22,2020-08-27 09:00:00,-0.92,2015-09-13 06:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0493-H02/CRMS0493-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0493-H02/CRMS0493-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0494-H01,29.7426355585,-91.7955404184,7.108,2008-09-12 22:00:00,-1.262,2010-12-25 22:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0494-H01/CRMS0494-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0494-H01/CRMS0494-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0494-H02,29.7407403613,-91.788834646,9.83,2020-08-27 08:00:00,-0.04,2015-10-21 05:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0494-H02/CRMS0494-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0494-H02/CRMS0494-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0496-H01,29.6292107724,-91.5474004683,8.477,2008-09-12 19:00:00,-0.683,2010-01-09 14:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0496-H01/CRMS0496-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0496-H01/CRMS0496-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0496-H02,29.6296970004,-91.5502597197,7.06,2020-10-10 02:00:00,-1.5,2017-12-29 15:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0496-H02/CRMS0496-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0496-H02/CRMS0496-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0498-H01,29.5012973162,-91.8496276877,9.985000000000001,2008-09-13 16:00:00,-0.61,2015-08-16 21:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0498-H01/CRMS0498-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0498-H01/CRMS0498-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0499-H01,29.5707996591,-91.8549797358,7.42,2020-08-27 09:00:00,-0.93,2018-01-01 12:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0499-H01/CRMS0499-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0499-H01/CRMS0499-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0501-H01,29.6393795311,-92.256770218,7.470000000000001,2008-09-12 23:00:00,-1.29,2018-01-04 02:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0501-H01/CRMS0501-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0501-H01/CRMS0501-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0504-H01,29.5367407478,-91.8861613167,5.9750000000000005,2008-09-12 16:00:00,-0.67,2014-04-27 20:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0504-H01/CRMS0504-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0504-H01/CRMS0504-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0507-H01,29.5828337116,-92.2250461001,7.34,2020-08-27 07:00:00,-2.63,2018-01-17 21:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0507-H01/CRMS0507-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0507-H01/CRMS0507-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0508-H01,29.6399869525,-92.2265286879,7.2,2020-08-27 12:00:00,-0.283,2011-02-23 14:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0508-H01/CRMS0508-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0508-H01/CRMS0508-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0511-H01,29.8865820195,-91.979647409,6.95,2020-08-27 14:00:00,-0.73,2020-04-15 18:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0511-H01/CRMS0511-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0511-H01/CRMS0511-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0513-H01,29.7926732907,-91.6042441719,6.614,2008-09-13 19:00:00,0.23399999999999999,2006-07-03 07:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0513-H01/CRMS0513-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0513-H01/CRMS0513-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0514-H01,29.8526641923,-91.8254377095,4.667,2008-09-13 01:00:00,-1.1829999999999998,2007-10-29 00:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0514-H01/CRMS0514-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0514-H01/CRMS0514-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0514-H02,29.8524447108,-91.8296309481,8.15,2020-10-10 03:00:00,-1.95,2018-01-30 20:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0514-H02/CRMS0514-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0514-H02/CRMS0514-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0517-H01,29.6427205114,-91.5724242594,9.22,2019-07-13 20:00:00,-2.88,2014-01-06 18:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0517-H01/CRMS0517-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0517-H01/CRMS0517-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0520-H01,29.5848934327,-91.8853487133,7.55,2020-08-27 09:00:00,-2.044,2011-02-02 21:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0520-H01/CRMS0520-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0520-H01/CRMS0520-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0522-H01,29.4997176347,-91.8313882886,5.35,2019-07-13 22:00:00,-2.66,2018-01-01 11:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0522-H01/CRMS0522-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0522-H01/CRMS0522-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0523-H01,29.578767216,-91.8212395955,6.53,2019-07-13 22:00:00,-1.63,2013-11-13 10:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0523-H01/CRMS0523-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0523-H01/CRMS0523-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0524-H01,29.5569778568,-91.8192728154,2.79,2018-10-10 01:00:00,-1.67,2018-01-06 19:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0524-H01/CRMS0524-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0524-H01/CRMS0524-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0527-H01,29.7116011542,-91.8590481123,4.237,2011-09-04 14:00:00,-1.193,2008-01-02 19:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H01/CRMS0527-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H01/CRMS0527-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0527-H02,29.7116213796,-91.8590861013,7.33,2019-07-13 22:00:00,-0.54,2015-01-04 22:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H02/CRMS0527-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H02/CRMS0527-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0527-H03,29.7090107024,-91.8598185515,8.68,2020-08-27 10:00:00,-0.6,2019-12-17 14:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H03/CRMS0527-H03_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H03/CRMS0527-H03.html,Teche/Vermilion,Teche/Vermilion
CRMS0529-H01,29.59976671,-91.9174607852,6.921,2008-09-12 18:00:00,0.29,2015-08-14 16:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0529-H01/CRMS0529-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0529-H01/CRMS0529-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0529-H02,29.5972378374,-91.9214119727,6.22,2020-10-10 03:00:00,-1.12,2018-04-16 03:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0529-H02/CRMS0529-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0529-H02/CRMS0529-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0530-H01,29.5820112595,-92.0175913657,7.39,2020-08-27 05:00:00,-0.66,2019-01-06 12:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0530-H01/CRMS0530-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0530-H01/CRMS0530-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0531-H01,29.8560647175,-91.9509989672,8.03,2020-10-10 02:00:00,-1.14,2019-01-20 17:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0531-H01/CRMS0531-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0531-H01/CRMS0531-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0532-H01,29.8251152123,-91.9486284651,8.468,2008-09-13 01:00:00,-2.42,2013-11-27 14:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0532-H01/CRMS0532-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0532-H01/CRMS0532-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0535-H01,29.6423268333,-92.1661861558,7.94,2020-08-27 09:00:00,-1.93,2017-01-29 22:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0535-H01/CRMS0535-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0535-H01/CRMS0535-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0536-H01,29.5821025174,-92.2598084672,7.02,2020-10-10 01:00:00,0.36,2018-03-28 03:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0536-H01/CRMS0536-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0536-H01/CRMS0536-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0541-H01,29.6172274357,-92.039872417,7.2,2020-10-10 01:00:00,-2.096,2008-12-04 20:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0541-H01/CRMS0541-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0541-H01/CRMS0541-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0542-H01,29.8048800491,-91.6334187666,4.75,2020-08-27 20:00:00,-2.16,2015-02-17 18:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0542-H01/CRMS0542-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0542-H01/CRMS0542-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0543-H01,29.7523613221,-91.6347996352,5.286,2008-09-12 15:00:00,-0.724,2006-12-08 07:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0543-H01/CRMS0543-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0543-H01/CRMS0543-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0543-H02,29.7508938783,-91.63601376330001,8.99,2019-07-13 23:00:00,-0.36,2020-02-27 10:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0543-H02/CRMS0543-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0543-H02/CRMS0543-H02.html,Teche/Vermilion,Teche/Vermilion
CRMS0544-H01,29.6867773949,-91.5761218893,5.06,2011-09-04 14:00:00,-1.7,2006-12-04 18:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0544-H01/CRMS0544-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0544-H01/CRMS0544-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0544-H02,29.6867729074,-91.5761140778,8.66,2019-07-13 23:00:00,-1.62,2015-01-26 12:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0544-H02/CRMS0544-H02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0544-H02/CRMS0544-H02.html,Teche/Vermilion,Teche/Vermilion
